,Freq
2019-09-01,12
2019-09-02,37
2019-09-03,31
2019-09-04,27
2019-09-05,30
2019-09-06,27
2019-09-07,20
2019-09-08,16
2019-09-09,38
2019-09-10,30
2019-09-11,39
2019-09-12,37
2019-09-13,28
2019-09-14,26
2019-09-15,19
2019-09-16,40
2019-09-17,38
2019-09-18,30
2019-09-19,26
2019-09-20,31
2019-09-21,26
2019-09-22,14
2019-09-23,32
2019-09-24,38
2019-09-25,31
2019-09-26,36
2019-09-27,31
2019-09-28,22
2019-09-29,20
2019-09-30,33
2019-10-01,42
2019-10-02,32
2019-10-03,40
2019-10-04,44
2019-10-05,35
2019-10-06,21
2019-10-07,31
2019-10-08,30
2019-10-09,43
2019-10-10,30
2019-10-11,36
2019-10-12,19
2019-10-13,18
2019-10-14,42
2019-10-15,37
2019-10-16,37
2019-10-17,30
2019-10-18,34
2019-10-19,19
2019-10-20,18
2019-10-21,23
2019-10-22,46
2019-10-23,23
2019-10-24,29
2019-10-25,30
2019-10-26,20
2019-10-27,17
2019-10-28,28
2019-10-29,51
2019-10-30,37
2019-10-31,34
2019-11-01,39
2019-11-02,13
2019-11-03,22
2019-11-04,52
2019-11-05,34
2019-11-06,32
2019-11-07,37
2019-11-08,48
2019-11-09,36
2019-11-10,20
2019-11-11,39
2019-11-12,36
2019-11-13,43
2019-11-14,52
2019-11-15,12
2019-11-16,17
2019-11-17,21
2019-11-18,44
2019-11-19,25
2019-11-20,33
2019-11-21,35
2019-11-22,46
2019-11-23,26
2019-11-24,16
2019-11-25,38
2019-11-26,34
2019-11-27,33
2019-11-28,31
2019-11-29,42
2019-11-30,24
2019-12-01,21
2019-12-02,48
2019-12-03,39
2019-12-04,48
2019-12-05,50
2019-12-06,48
2019-12-07,28
2019-12-08,29
2019-12-09,41
2019-12-10,36
2019-12-11,46
2019-12-12,43
2019-12-13,39
2019-12-14,31
2019-12-15,18
2019-12-16,41
2019-12-17,43
2019-12-18,30
2019-12-19,35
2019-12-20,40
2019-12-21,27
2019-12-22,18
2019-12-23,37
2019-12-24,26
2019-12-25,12
2019-12-26,38
2019-12-27,29
2019-12-28,22
2019-12-29,11
2019-12-30,20
2019-12-31,6
